,id,name,average_rating,guests,room_type,house_type,beds,baths,is_new_listing,title,lat,lng,rate,amount,picture,reviews_count
4,39600310,✷﻿ Modern  colorful apt in the heart of Tbilisi ✷,4.87,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Apartment in Tbilisi,41.69247,44.7986,$34,34,https://a0.muscache.com/im/pictures/a1ed1e18-d1cf-4f38-86a7-3f126a2c37c4.jpg?im_w=720,52
5,24030401,House near Opera,4.77,6 guests,2 bedrooms,entire_home,4 beds,1 bath,False,Apartment in Tbilisi,41.70048,44.79428,$38,38,https://a0.muscache.com/im/pictures/1765d459-742a-4f33-8f5d-f17fed78c26b.jpg?im_w=720,145
6,25217957,Moustache and Key (Moustache to the Right),4.82,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Tbilisi,41.6909,44.80555,$67,67,https://a0.muscache.com/im/pictures/2bf692ae-a17f-441b-b9b6-45f5ae9910bd.jpg?im_w=720,204
7,13946008,"Old City with Balcony, Charm and Character",4.95,3 guests,1 bedroom,entire_home,2 beds,1 bath,False,Apartment in Batumi,41.64995,41.63939,$55,55,https://a0.muscache.com/im/pictures/a856acc4-7ceb-4943-af7d-fa365e80d127.jpg?im_w=720,155
8,2596593,apartment in the center of city,4.74,2 guests,1 bedroom,entire_home,1 bed,1.5 baths,False,Apartment in Tbilisi,41.69717,44.8106,$21,21,https://a0.muscache.com/im/pictures/384c7d41-a575-45bd-b472-919415b7909a.jpg?im_w=720,44
9,37560138,Irina's apartment near St. Nicholas church.,4.88,4 guests,Studio,entire_home,2 beds,1 bath,False,Apartment in T'bilisi,41.70182,44.80769,$21,21,https://a0.muscache.com/im/pictures/5ba3e453-1cc5-4ca4-8e4f-87f8e48a5f40.jpg?im_w=720,43
10,21806249,Studio N12 on Liberty Square,4.9,3 guests,Studio,entire_home,2 beds,1 bath,False,Apartment in Tbilisi,41.69059,44.79843,$25,25,https://a0.muscache.com/im/pictures/6146640f-4f87-48cb-9a55-6f587492c995.jpg?im_w=720,136
11,35983150,The modern apartment in the heart of old Tbilisi,4.89,3 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in T'bilisi,41.6972,44.80471,$21,21,https://a0.muscache.com/im/pictures/d25c49f1-59e8-4021-823e-697d7edb5709.jpg?im_w=720,53
12,49719062,Kope's house (Door to the right),4.99,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in T'bilisi,41.70527,44.80568,$58,58,https://a0.muscache.com/im/pictures/59f93e00-67ba-4279-afec-7ad0682a7cec.jpg?im_w=720,68
13,38097355,"""Bright Apartment""  Very Central Tbilisi",4.94,4 guests,Studio,entire_home,2 beds,1 bath,False,Apartment in T'bilisi,41.69418,44.79618,$40,40,https://a0.muscache.com/im/pictures/b866c0aa-bbd6-48f5-a0e4-6ad17d6bca88.jpg?im_w=720,161
14,18021232,-31%Cute and comfy studio loft inVake with balcony,4.79,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Loft in  Tbilisi,41.70906,44.75933,$31,31,https://a0.muscache.com/im/pictures/e9eaffc7-c605-4f96-9e08-79ae0d45a9fb.jpg?im_w=720,40
15,41712698,LOFT #2 With Terrace And Amazing View In Old Town,4.97,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in T'bilisi,41.7072,44.78889,$85,85,https://a0.muscache.com/im/pictures/58a7f35e-f0fe-4e22-b733-a394109e045d.jpg?im_w=720,101
16,36555815,Home away Home,4.9,3 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in T'bilisi,41.71458,44.79516,$25,25,https://a0.muscache.com/im/pictures/45efb8c1-a951-490d-afc3-85bfdce2864a.jpg?im_w=720,98
17,5164758,The heart of Tbilisi's Downtown,4.65,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Home in Tbilisi,41.69099,44.80098,$23,23,https://a0.muscache.com/im/pictures/1dd30056-cdfe-47c3-8c9a-1ace099af0f8.jpg?im_w=720,186
18,22722376,"1829 Orbi seaview balcony, long term ready, 40Mbps",4.85,3 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Batumi,41.63501,41.60735,$15,15,https://a0.muscache.com/im/pictures/miso/Hosting-22722376/original/bbf877fc-ef3e-4c72-858b-7d72ef6e10be.png?im_w=720,99
19,36229331,482 Studio apartment overlooking the sea,4.74,3 guests,Studio,entire_home,2 beds,1 bath,False,Apartment in Batumi,41.64207,41.61698,$24,24,https://a0.muscache.com/im/pictures/27c9b942-b75a-4f77-bffa-0bd00c77a370.jpg?im_w=720,19
0,590362752716320643,"Water's Edge Cottage on Little Lagoon, Gulf Shores",5.0,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Gulf Shores,30.24663,-87.78158,$188,188,https://a0.muscache.com/im/pictures/miso/Hosting-590362752716320643/original/3cd9777b-511a-4cc3-965d-4323d876b387.jpeg?im_w=720,13
1,37750295,Nurses welcomed! Room+Bathroom-Downtown Montgomery,4.78,2 guests,1 bedroom,private_room,1 bed,1 private bath,False,Private room in Montgomery,32.37022,-86.30341,$46,46,https://a0.muscache.com/im/pictures/2a83f645-c5d6-4495-8c0f-5e1efe34ad15.jpg?im_w=720,69
2,24181079,At the Beach with Water View !!,4.77,6 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Gulf Shores,30.24655,-87.70464,$86,86,https://a0.muscache.com/im/pictures/9b6dfa03-6b5c-48be-b2ba-0e57f3b92bac.jpg?im_w=720,70
3,45016629,WANDERLUST TREEHOUSE Book an experience!,4.99,2 guests,1 bedroom,entire_home,1 bed,1.5 baths,False,Treehouse in Crane Hill,34.06692,-87.02484,$445,445,https://a0.muscache.com/im/pictures/8daeb070-e9f1-40f1-a0c2-fb90682483d3.jpg?im_w=720,170
4,45992825,"My cottage: Best Room- 3 mins to downtown.
Airbnb",4.8,2 guests,1 bedroom,private_room,1 bed,1 shared bath,False,Private room in Montgomery,32.37073,-86.29759,$46,46,https://a0.muscache.com/im/pictures/9c138217-bf46-47ca-b8e9-22bee63c2ca9.jpg?im_w=720,49
5,20842758,Birmingham R&R Hostel // Bed 4 (Co-ed Room),4.48,1 guest,1 bedroom,shared_room,1 bed,2 shared baths,False,Shared room in Birmingham,33.52652,-86.82297,$25,25,https://a0.muscache.com/im/pictures/7ec233dd-4b2f-415f-bd97-fe9822a12bba.jpg?im_w=720,113
6,50943548,Trendy New Condo in Historic Downtown Birmingham,5.0,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Birmingham,33.51444,-86.80263,$123,123,https://a0.muscache.com/im/pictures/miso/Hosting-50943548/original/c63e3077-63e6-40b8-9a0c-8e183aeeb156.jpeg?im_w=720,26
7,50457368,Birmingham R&R Hostel // Private Room 4,4.23,2 guests,1 bedroom,private_room,,2 shared baths,False,Private room in Birmingham,33.52679,-86.82394,$46,46,https://a0.muscache.com/im/pictures/17b79018-e549-436b-9389-88a3691354f1.jpg?im_w=720,31
8,558865648380123514,Private Room 2 of 2 for FEMALES ONLY,5.0,1 guest,2 bedrooms,private_room,2 beds,1 shared bath,False,Private room in Mountain Brook,33.4894,-86.7738,$53,53,https://a0.muscache.com/im/pictures/eacf7d3b-0630-420c-b439-2646bda46a61.jpg?im_w=720,12
9,52866105,Room very close to downtown Birmingham!,4.7,2 guests,1 bedroom,private_room,1 bed,1 shared bath,False,Private room in Birmingham,33.51219,-86.83074,$47,47,https://a0.muscache.com/im/pictures/f40fbe75-5222-49a0-a654-76392a2d2f20.jpg?im_w=720,57
